1.	VIM-Airlines	NN	"5% от опубл. тарифов по маршрутам DME-BSL-DME; DME-VDA-DME на собств.рейсы NN
3,5% от всех опубл. тарифов по другим маршрутам на собств.рейсы NN
"
2.	ДОНАВИА	D9	"5% от опубл. тарифов эконом класса на собств. рейсы D9
6,3% от опубл. тарифов бизнес класса на собств. рейсы D9
1,4% от опубл. тарифов на рейсы Interline с участком D9
"
3.	Нордавиа-РА	5N	5% от опубл. тарифов на собств.рейсы 5N
4.	ADRIA AIRWAYS	JP	50 коп. с билета на рейсы JP
5.	AEROMEXICO	AM	6,3% от опубл. тарифов на рейсы AM
6.	AEROSVIT	VV	"3,5% от опубл. тарифов на рейсы VV;
2% от опубл. тарифов на рейсы VV в комбинации с рейсами Interline
0,5% от опубл. тарифа на рейсы Interline без участка VV"
7.	Air Astana	KC	"3,5% от тарифа по маршрутам внутри Республики Казахстан;
5% от прямых опубликованных тарифов по международным маршрутам;
5% от сквозных опубликованных тарифов по международным маршрутам;
5% от сквозных опубликованных тарифов, установленных в соответствии со специальным прорейтовым соглашением с другой авиакомпанией, по международным маршрутам; 
4,2% от опубликованных тарифов при их комбинации END-ON-END (внутренний тариф + международный тариф) за продажу перевозки по внутреннему и международному маршрутам, оформленным в одном авиабилете; 
3,5% от тарифов на рейсы Interline без сегмента КС;
5% от тарифов на рейсы Interline в комбинации с рейсом KC по всему маршруту;"
7.	AIR SEYCHELLES	HM	"0,5% от опубл. тарифа на собств. рейсы HM 
"
9.	AIR BALTIC 	BT	50 коп с билета на рейсы BT
10.	AIR BERLIN	AB	5 коп с билета по опубл. тарифам на рейсы AB
11.	AIR CANADA	AC	"5% от опубл. тарифов на рейсы АС из России и Европы;
0% от опубл. тарифов на внутренние рейсы по Канаде, а также на международные рейсы из Канады и США "
12.	AIR CHINA 	CA	"5 руб. с билета, от опубл.тарифов на рейсы CA с началом перевозки от пунктов РФ;
0% на все остальные тарифы."
13.	Air Europa	UX	3,5% от опубл. тарифов на собств. рейсы UX
14.	AIR FRANCE 	AF	5 руб. с билета от всех опубл. тарифов на рейсы AF 
15.	AIR MALTA	KM	"0,5% от опубл. тарифа на рейсы KM
0,5% от опубл. тарифа на рейсы Interline"
16.	AIR MAURITIUS	MK	0,5% от опубл. тарифа на рейсы MK
17.	AIR NAMIBIA	SW	5% от опубл. тарифов на собств.рейсы SW
18.	AIR NEW ZEALAND	NZ	"5% от тарифа на международные перелеты на рейсы NZ;
3,5% от тарифа на внутренние перелеты на рейсы NZ."
19.	AIGLE AZUR	ZI	0,5% от опубл. тарифа на собств. рейсы ZI
20.	ALITALIA  	AZ	"5 руб. с билета по опубл. тарифам на собств. рейсы AZ;
5 руб. с билета по опубл. тарифам на рейсы Interline, если 1-ый сегмент выполнен под кодом AZ.
"
21.	AMERICAN AIRLINES	AA	"0,5% от опубл. тарифа на собственные рейсы AA, кроме:
0% от опубл. тарифов по маршрутам из 50 штатов США (включая Пуэрто Рико/Виргинские острова (США) и Канады; 
0% от тарифов VUSA, N1VISIT и N2VISIT."
22.	ATLANT-SOYUZ	7B	"2,8% от опубл. тарифов на cобств. рейсы 7B
2% от опубл. тарифов на рейсы Interline"
23.	AUSTRIAN AIRLINES  	OS	5 коп. с билета по опубл. тарифам на собств.рейсы OS и рейсы Interline с участком OS.
24.	BANGKOK AIRWAYS	PG	3,5% от опубликованных тарифов на рейсы PG
25.	Belavia	B2	"3,5% от всех опубл. тарифов на собств. рейсы B2;
2% от опубл. тарифов на рейсы “SAS” по маршрутам между Данией, Швецией, Норвегией, Гренландией и по внутренним маршрутам Дании, Швеции и Норвегии;
2% от опубл. тарифов на внутренние рейсы РФ авиакомпании “Аэрофлот”;
2% от опубл. тарифов Lufthansa на внутренние рейсы Германии;
2% от опубл. тарифов LOT Polish Airlines на внутренние рейсы Польши;
2% от опубл. тарифов Alitalia на внутренние рейсы Италии.
"
26.	BRITISH AIRWAYS 	BA	"5 руб. с билета по опубл. тарифам на собств. рейсы BA;
5 руб. с билета по опубл. тарифам на рейсы Interline, с участком BA."
27.	BMI	BD	5% от опубл. тарифов на собств. рейсы BD.
28.	BULGARIA AIR	FB	2,8% от опубл. тарифов на собств. рейсы FB.
29.	CATHAY PACIFIC	CX	5% от опубл. тарифов на собств. рейсы CX.
30.	China Airlines	CI	0,5% от опубл. тарифа на собств. рейсы CI
31.	CHINA EASTERN	MU	"0% от тарифа по конфид. тарифам;
от опубликованных тарифов:
5 руб. на международные рейсы MU; на рейсы MU до Гонконга, Макао; при выписке международного перелета MU и перелета по территории КНР MU на одном бланке; на внутренние рейсы MU по территории КНР; на рейсы MU и рейсы других авиакомпаний на бланке MU или на  рейсы других  авиакомпаний на бланке MU на любые участки.
Опубл. считаются только классы: “F” – первый класс, “C” – бизнес класс, “Y” – эконом класс"
32.	"CHINA SOUTHERN
AIRLINES"	CZ	"6,3% от тарифа на рейсы, полностью выполняемые CZ;
5% от тарифа на рейсы CZ с участием других перевозчиков;
0% от тарифа на рейсы Interline без участка СZ."
33.	CROATIA AIRLINES 	OU	"0,5% от опубл. тарифа на собств.рейсы OU 
0,5% от опубл. тарифа на рейсы Interline с участком OU."
34.	CZECH AIRLINES	OK	"0,5% от опубл. тарифа на рейсы OK;
0,5% от опубл. тарифа на рейсы Interline, если один из сегментов выполнен под кодом OK."
35.	CYPRUS AIRWAYS	CY	6,3% от опубликованных тарифов на рейсы CY.
36.	Condor Flugdienst 	DE	0,5% от опубл. тарифа на рейсы DE.
