name,iata,country
Adria Airways,JP,SI
Aegean Airlines,A3,GR
Aer Lingus,EI,IE
Aerolineas Argentinas,AR,AR
Aeromexico,AM,MX
Aeropostal Alas de Venezuela,VH,VE
Afriqiyah Airways,8U,LY
Aigle Azur,ZI,FR
Air Algerie,AH,DZ
Air Astana,KC,KZ
Air Austral,UU,AU
Air Baltic,BT,LV
Air Berlin,AB,DE
Air Botswana,BP,BW
Air Canada,AC,CA
Air China Limited,CA,CN
Air Contractors Limited,AG,IE
Air Europa,UX,ES
Air France,AF,FR
Air India,AI,IN
Air Jamaica Limited,JM,JM
Air Koryo,JS,KP
Air Macau,NX,MO
Air Madagascar,MD,MG
Air Malawi,QM,MW
Air Malta,KM,MT
Air Mauritius,MK,MU
Air Moldova,9U,MD
Air Namibia,SW,NA
Air New Zealand,NZ,NZ
Air Niugini,PX,PG
Air Nostrum,YW,ES
Air One,AP,IT
Air Pacific,FJ,FJ
Air Senegal International,V7,SN
Air Seychelles,HM,SC
Air Tahiti,VT,PF
Air Tahiti Nui,TN,PF
Air Tanzania,TC,TZ
Air Transat,TS,CA
Air Vanuatu,NF,VU
Air Zimbabwe,UM,ZW
Aircalin,SB,NC
Alaska Airlines,AS,US
Alitalia,AZ,IT
All Nippon Airways,NH,JP
Alma de Mexico,C4,MX
American Airlines,AA,US
Angola Airlines,DT,AO
Arkia Israeli Airlines,IZ,IL
Armavia,U8,AM
Asiana,OZ,KR
Atlas Air,5Y,US
Atlasjet Airways,KK,TR
Austral,AU,AR
Austrian,OS,AT
AVIANCA,AV,CO
AZAL,J2,AZ
B & H Airlines,JA,BA
Bangkok Airways,PG,TH
Bellview Airlines,B3,NG
Biman,BG,BD
Binter Canarias,NT,ES
Blue Panorama,BV,IT
Blue Wings,QW,DE
Blue1,KF,FI
bmi,BD,GB
British Airways,BA,GB
Brussels Airlines,SN,BE
C.A.L. Cargo Airlines,5C,IL
Cargojet Airways,W8,CA
Cargolux,CV,LU
Caribbean Airlines,BW,TT
Carpatair,V3,RO
Caspian Airlines,RV,IR
Cathay Pacific,CX,HK
CCM Airlines,XK,FR
China Airlines,CI,TW
China Cargo Airlines,CK,CN
China Eastern,MU,CN
China Southern Airlines,CZ,CN
Cimber Air,QI,DK
