iata,name_en
310,Airbus A310
312,Airbus A310-200
313,Airbus A310-300
318,Airbus A318
319,Airbus A319
320,Airbus A320
321,Airbus A321
32S,Airbus A320
330,Airbus A330
332,Airbus A330-200
333,Airbus A330-300
340,Airbus A340
342,Airbus A340-200
343,Airbus A340-300
345,Airbus A340-500
346,Airbus A340-600
380,Airbus A380
731,Boeing 737-100
732,Boeing 737-200
733,Boeing 737-300
734,Boeing 737-400
735,Boeing 737-500
736,Boeing 737-600
737,Boeing 737
738,Boeing 737-800
739,Boeing 737-900
73G,Boeing 737-700
73H,Boeing 737-800
73M,Boeing 737-200
73W,Boeing 737-700
741,Boeing 747-100
742,Boeing 747-200
743,Boeing 747-300
744,Boeing 747-400
747,Boeing 747
74C,Boeing 747-200
74D,Boeing 747-300
74E,Boeing 747-400
74J,Boeing 747-400
74L,Boeing 747SP
74M,Boeing 747
74R,Boeing 747SR
752,Boeing 757-200
753,Boeing 757-300
757,Boeing 757
75M,Boeing 757
762,Boeing 767-200
763,Boeing 767-300
764,Boeing 767-400
767,Boeing 767
772,Boeing 777-200
773,Boeing 777-300
777,Boeing 777
A26,Ан-26
A28,Ан-28
A30,Ан-30
A32,Ан-32
A40,Ан-140
AB3,Airbus A300
AB4,Airbus A300
AB6,Airbus A300-600
AN4,Ан-24
ANF,Ан-12
E70,Embraer 170
E90,Embraer 190
EM2,Embraer EMB.120 Brasilia
EMB,Embraer EMB.110 Bandeirnate
EMJ,Embraer 170/190
ER3,Embraer RJ135
ER4,Embraer RJ145 Amazon
ERD,Embraer RJ140
ERJ,Embraer RJ
I14,Ил-114
I93,Ил-96-300
I9M,Ил-96М
IL6,Ил-62
IL7,Ил-76
IL8,Ил-18
IL9,Ил-96
ILW,Ил-86
T20,Ту-204/214
TU3,Ту-134
TU5,Ту-154
YK2,Як-42
YK4,Як-40
M11,McDonnell Douglas MD11
M1M,McDonnell Douglas MD11
M80,McDonnell Douglas MD80
M81,McDonnell Douglas MD81
M82,McDonnell Douglas MD82
M83,McDonnell Douglas MD83
M87,McDonnell Douglas MD87
M88,McDonnell Douglas MD88
M90,McDonnell Douglas MD90
F21,Fokker F.28 Fellowship 1000
F22,Fokker F.28 Fellowship 2000
F23,Fokker F.28 Fellowship 3000
F24,Fokker F.28 Fellowship 4000
F27,Fokker F.27 Friendship / Fairchild F.27
F28,Fokker F.28 Fellowship
F50,Fokker 50
F70,Fokker 70
CR1,Canadair Regional Jet 100
CR2,Canadair Regional Jet 200
CR7,Canadair Regional Jet 700
CR9,Canadair Regional Jet 900
CRJ,Canadair Regional Jet
